relegate [01/'religeit/]	[01* ngđtừ]\n- loại bỏ, bỏ xó, bỏ riêng ra\n[02= to relegate a worthless book to the wastepaper-basket] vứt bỏ cuốn sách tồi vào sọt giấy loại\n- giao cho (ai để quyết định hoặc thi hành...)\n[02= to relegate matter to someone] giao vấn đề cho ai (để quyết định hoặc thi hành)\n- chuyển (ai) đến (nơi nào, người nào...) để tìm hiểu thêm\n- đổi (viên chức) đi xa; đày ải\n- hạ tầng\n[02= to be relegated to an inferior position] bị hạ tầng công tác
relegation [01/,reli'gei∫n/]	[01* dtừ]\n- sự loại bỏ, sự bỏ xó, sự bỏ riêng ra\n- sự giao (việc gì cho ai quyết định hoặc thi hành)\n- sự chuyển (ai) đến (nơi nào, người nào...) để tìm hiểu thêm\n- sự đổi đi xa; sự đày ải\n- sự hạ tầng (công tác) 
relent [01/ri'lent/]	[01* nđtừ]\n- bớt nghiêm khắc, trở nên thuần tính, dịu lại\n- mủi lòng, động lòng thương
relentless [01/ri'lentlis/]	[01* ttừ]\n- tàn nhẫn, không thương xót\n- không hề yếu đi, không nao núng\n[02= to be relentless in doing something] làm việc gì hăng say không hề nao núng
relentlessly [01/ri'lentlisli/]	[01* phtừ]\n- tàn nhẫn, không thương xót\n- không ngơi ngớt, không nao núng; nghiêm khắc, gay gắt\n- không ngừng; luôn luôn, thường xuyên
relentlessness [01/ri'lentlinis/]	[01* dtừ]\n- sự tàn nhẫn, sự không thương xót\n- sự không ngơi ngớt, sự không nao núng; sự nghiêm khắc, sự gay gắt\n- sự không ngừng; sự luôn luôn, sự thường xuyên
relet [01/'ri:'let/]	như [03re-let]
re-let [01/'ri:'let/]	[01* ngđtừ]\n- cho thuê lại, cho mướn lại
reletting [01/'ri:'letiɳ/]	như [03re-letting]
re-letting [01/'ri:'letiη/]	[01* dtừ]\n- sự cho thuê lại
relevance [01/'reləvəns/]	[01* dtừ]\n- sự thích đáng, sự thích hợp; sự xác đáng
relevancy [01/'reləvənsi/]	như [03relevance]
relevant [01/'reləvənt/]	[01* ttừ]\n- thích đang, thích hợp; xác đáng\n[02= the relevant documents] những tài liệu thích hợp (cho vấn đề gì) 
reliability [01/ri,laiə'biləti/]	[01* dtừ]\n- sự đáng tin cậy\n[04! reliability trials]\n- sự cho chạy thử trên một quâng đường dài (ô tô)(cốt để thử sức bền chịu đựng hơn là thử tốc độ) 
reliable [01/ri'laiəbl/]	[01* ttừ]\n- chắc chắn, đáng tin cậy; xác thực (tin tức...)\n[02= a reliable man] một người đáng tin cậy\n[02= reliable information] tin tức chắc chắn
reliably [01/ri'laiəbli/]	[01* phtừ]\n- chắc chắn, đáng tin cậy; xác thực (tin tức...) 
reliance [01/ri'laiəns/]	[01* dtừ]\n- sự tin cậy, sự tín nhiệm\n[02= to place reliance in (on, uopn) someoen] tín nhiệm ai\n[02= to put little reliance in somebody] không tin ở ai lắm\n- nơi nương tựa
reliant [01/ri'laiənt/]	[01* ttừ]\n- đáng được tin cậy\n[02= a man] một người đáng tin cậy\n- tự tin\n[02= to speak with a reliant tone] nói với một giọng tự tin\n- dựa vào, tin vào\n[02= to be reliant on someone for something] dựa vào ai để làm cái gì
relic [01/'relik/]	[01* dtừ]\n- (tôn giáo) thành tích\n- di tích, di vật\n[02= a relic of early civilization] di tích của một nền văn minh\n- (số nhiều) di hài
relict [01/'relikt/]	[01* dtừ]\n- bà quả phụ\n- sinh vật cổ còn sót lại
relief [01/ri'li:f/]	[01* dtừ]\n- sự giảm nhẹ, sự bớt đi, sự làm khuây (đau đớn, buồn rầu)\n[02= treatment gives relief] sự điều trị làm giảm bệnh\n- sự cứu tế, sự trợ cấp; sự cứu viện\n[02= to go someone's relief] cứu giúp ai\n[02= to provide relief for the earthquake victims] cứu tế những người bị hạn động đất\n- sự giải vây (một thành phố...)\n- sự thay phiên, sự đổi gác\n- sự đền bù, sự bồi thường (thiệt hại) ; sự sửa lại, sự uốn nắn (những cái bất công...)\n- cái làm cho vui lên; cái làm cho đỡ đều đều tẻ nhạt; cái làm cho đỡ căng thẳng\n[02= a comic scene follows by way of relief] tiếp sau là một màn hài kịch cốt để đỡ căng thẳng\n[01* dtừ]\n- (như) [03relievo]\n- (bóng) sự nổi bật lên\n[02= to stand out in relief] nổi bật lên\n[02= to bring (throw) something into relief] nêu bật vấn đề gì\n- (địa) địa hình
relief fund [01/ri'li:f'fʌnd/]	[01* dtừ]\n- quỹ cứu tế
relief map [01/ri'li:f'mæp/]	[01* dtừ]\n- bản đồ địa hình nổi
