rebore [01/,ri:'bɔ:/]	[01* ngđtừ]\n- (kỹ) khoan lại
recipe [01/'resəpi/]	[01* dtừ]\n- công thức (bánh, món ăn, thuốc pha chế)\n- đơn thuốc, thuốc pha chế theo đơn, thuốc bốc theo đơn\n- phương pháp, cách làm (việc gì) 
recipient [01/ri'sipiənt/]	[01* ttừ]\n- (như) [03receptive]\n[01* dtừ]\n- người nhận (tiền, quà biếu...) ; nước nhận (viện trợ...) 
reciprocal [01/ri'siprəkl/]	[01* ttừ]\n- lẫn nhau, qua lại; có đi có lại, cả đôi bên\n[02= reciprocal love] tình yêu thương lẫn nhau\n[02= reciprocal protection] sự bảo vệ lẫn nhau\n[02= a reciprocal mistake] sự lầm lẫn của cả đôi bên\n- (toán) đảo, thuận nghịch\n[02= reciprocal theorem] định lý đảo\n[02= reciprocal equation] phương trình thuận nghịch\n[01* dtừ]\n- (toán) số đảo; hàm thuận nghịch\n[02= the reciprocal of 3 is 1/3] số đảo của 3 là 1 roành
reciprocal pronoun [01/ri'siprəkl'prounaun/]	[01* dtừ]\n- (ngôn) đại từ tương hỗ (each other, other, another : lẫn nhau, với nhau) 
reciprocally [01/ri'siprəkli/]	[01* phtừ]\n- lẫn nhau, qua lại, tương hỗ; có đi có lại, cả đôi bên\n- (ngôn) diễn tả quan hệ tương hỗ\n- <toán> đảo, thuận nghịch
reciprocate [01/ri'siprəkeit/]	[01* ngđtừ]\n- trả, đền đáp lại; đáp lại (tình cảm)\n[02= to reciprocate a favour] trả ơn\n[02= to reciprocate someone's affection] đáp lại lòng thương yêu của ai\n[02= to reciprocate someone's good wishes] chúc lại ai\n- cho nhau, trao đổi lẫn nhau\n[02= reciprocate each other's affection] họ thương yêu lẫn nhau\n- (kỹ) làm cho chuyển động qua lại (pittông...)\n- (toán) thay đổi cho nhau\n[01* nđtừ]\n- đáp lại; chúc lại\n- (kỹ) chuyển động qua lại (pittông...)\n- (toán) thay đổi cho nhau
reciprocating engine [01/ri'siprəkeitiη'endʒin/]	[01* dtừ]\n- máy chuyển động qua lại; máy kiểu pittông
reciprocation [01/ri,siprə'kei∫n/]	[01* dtừ]\n- sự trả (ơn...) ; sự đáp lại (cảm tình)\n- sự cho nhau, sự trao đổi lẫn nhau\n- (kỹ) sự chuyển động qua lại (pittông...)\n- (toán) sự thay đổi cho nhau
reciprocity [01/,resi'prɔsəti/]	[01* dtừ]\n- sự nhân nhượng, sự trao đổi lẫn nhau, sự có đi có lại\n- sự dành cho nhau những đặc quyền (giữa hai nước)\n[02= in reciprocity trade] việc dành cho nhau những đặc quyền về mậu dịch\n- (toán) tính đảo nhau
recirculation [01/,ri:sə:kju'lei∫n/]	[01* dtừ]\n- (kỹ) sự tuần hoàn khép kín; sự quay vòng
recision [01/ri'siʒən/]	như [03exsection]
recital [01/ri'saitl/]	[01* dtừ]\n- sự kể lại, sự thuật lại, sự kể lể; chuyện kể lại, chuyện thuật lại\n- sự ngâm, sự bình (thơ)\n- (âm nhạc) cuộc biểu diễn độc tấu\n- (pháp lý) đoạn văn kiện kể lại sự kiện
recitation [01/,resi'tei∫n/]	[01* dtừ]\n- sự kể lại, sự kể lể\n[02= the recitation of one's woes] sự kể lể những nỗi khổ\n- sự ngâm thơ, sự kể chuyện (thuộc lòng, trước thính giả)\n- sự đọc thuộc lòng (bài học) ; bài học thuộc lòng
recitative [01/,resitə'ti:v/]	[01* dtừ]\n- (âm nhạc) hát nói\n- đoạn hát nói
recite [01/ri'sait/]	[01* ngđtừ]\n- kể lại, thuật lại, kể lể\n[02= to recite one's griefs] kể kể những nỗi đau buồn của mình\n- (pháp lý) kể lại (sự việc) trong một văn kiện\n- đọc thuộc lòng (bài học)\n[01* nđtừ]\n- ngâm thơ; kể chuyện (thuộc lòng, trước thính giả)\n- đọc thuộc lòng
reciter [01/ri'saitə/]	[01* dtừ]\n- người ngâm thơ; người kể chuyện (thuộc lòng, trước thính giả)\n- tập thơ để ngâm
reck [01/rek/]	[01* ngđtừ]\n- ((thơ ca) ; (văn học)),((thường) phủ định) ngại, băn khoăn, lo lắng, để ý\n[02= to reck but little of something] ít lo lắng (ít lo ngại việc gì)\n[02= to reck not of danger] không ngại nguy hiểm
reckless [01/'reklis/]	[01* ttừ]\n- không lo lắng, không để ý tới; coi thường\n[02= reckless of consequence] không lo tới hậu quả\n[02= reckless of danger] không để ý tới nguy hiểm\n- thiếu thận trọng, khinh suất, liều lĩnh, táo bạo\n[02= a reckless decision] một quyết định liều lĩnh
recklessness [01/'reklisnis/]	[01* dtừ]\n- tính không lo lắng, tính không để ý tới; tính coi thường\n- tính thiếu thận trọng, tính khinh suất, tính liều lĩnh, tính táo bạo
