revanchist [01/ri'va:nt∫ist/]	[01* ttừ]\n- thuộc revanchism\n[01* dtừ]\n- người theo revanchism
reveal [01/ri'vi:l/]	[01* ngđtừ]\n- để lộ, tỏ ra, biểu lộ; bộc lộ, tiết lộ (điều bí mật)\n- phát giác, khám phá (vật bị giấu...) 
revealable [01/ri'vi:ləbl/]	[01* ttừ]\n- có thể để lộ, có thể biểu lộ; có thể bộc lộ, có thể tiết lộ\n- có thể phát giác, có thể khám phá
revealed religion [01/ri'vi:lid,ri'lidʒən/]	[01* dtừ]\n- tôn giáo thiên khải (tôn giáo) được tin là do Chúa Trời trực tiếp phát hiện cho nhân loại
revealing [01/ri'vi:liη/]	[01* ttừ]\n- bộc lộ, biểu lộ; tiết lộ, để lộ ra, cho thấy (điều bí mật)\n- phát hiện, khám phá
revegetate [01/ri:'vedʒiteit/]	[01* nđtừ]\n- lại mọc lại, lại sinh trưởng (cây) 
reveille [01/ri'væli/]	[01* dtừ]\n- (qsự) hiệu (kèn, trống) đánh thức (buổi sáng) 
revel [01/'revl/]	[01* dtừ]\n- cuộc liên hoan\n- ((thường) số nhiều) cuộc chè chén ồn ào, cuộc ăn chơi chè chén, cuộc truy hoan\n[01* nđtừ]\n- liên hoan\n- ăn uống say sưa, chè chén ồn ào\n- ham mê, thích thú, miệt mài\n[02= to revel in a book] miệt mài xem một quyển sách\n[02= to revel in doing something] ham thích làm một việc gì\n[01* ngđtừ]\n- (+[04 away]) lãng phí (thời gian, tiền bạc) vào những cuộc ăn chơi chè chén\n[02= to revel away money] lãng phí tiền bạc vào những cuộc ăn chơi chè chén\n- (+[04 out]) ăn chơi chè chén\n[02= to revel out the night] ăn chơi chè chén thâu đêm
revelation [01/,revə'lei∫n/]	[01* dtừ]\n- sự để lộ, sự tiết lộ, sự phát giác, sự khám phá (vật bị giấu, điều bí mật...)\n- (tôn giáo) sự soi rạng, thiên khải\n- (tôn giáo)(the revelation) sách khải huyền (cuốn cuối cùng của bộ kinh Tân ước) 
revelationist [01/,revi'lei∫nist/]	[01* dtừ]\n- người tin là Chúa đã khải phát một vài chân lý cho loài người
revelator [01/'revileitə/]	[01* dtừ]\n- người tiết lộ, người phát giác
