solanella [01/,sɔldə'nelə/]	[01* dtừ]\n- (thực vật) cỏ tan băng
solan-goose [01/'soulən'gu:s/]	như [03gannet]
solanine [01/'sɔləni:n/]	[01* dtừ]\n- (hoá) solanin
solanum [01/sou'leinəm/]	[01* dtừ]\n- họ cà
solar [01/'soulə/]	[01* ttừ]\n- (thuộc) mặt trời, (thuộc) thái dương\n[02= solar eclipse] nhật thực\n[02= solar system] hệ mặt trời
solar cell [01/'soulə'sel/]	[01* dtừ]\n- tế bào năng lượng mặt trời
solar day [01/'soulə'day/]	[01* dtừ]\n- thời gian quả đất quay quanh mình
solar eclipse [01/danh từ/]	[01* dtừ]\n- nhật thực
solar house [01/'soulə,haus/]	[01* dtừ]\n- nhà lắp kính để sử dụng tia nắng mặt trời
solar plexus [01/'soulə'pleksəs/]	[01* dtừ]\n- (phẫu) đám rối dương
solar power [01/'soulə'pauə/]	[01* dtừ]\n- năng lượng mặt trời
solar system [01/'soulə'sistəm/]	[01* dtừ]\n- (the solar system) hệ mặt trời; thái dương hệ
solar year [01/'soulə'jə:/]	[01* dtừ]\n- (the solar year) năm mặt trời (thời gian để trái đất quay xung quanh mặt trời một vòng; vào khoảng 365 và 1 / 4 ngày) 
solaria [01/sou'leəriə/]	[01* dtừ] s/n [03solaria]\n- nhà tắm nắng (thường có quây kín) 
solarisation [01/,soulərai'zei∫n/]	như [03solarization]
solarise [01/'souləraiz/]	như [03solarize]
solarium [01/sou'leəriəm/]	như [03solaria]
solarization [01/,soulərai'zei∫n/]	[01* dtừ]\n- (nhiếp ảnh) sự làm hỏng vì phơi quá; sự bị hỏng vì phơi quá
solarize [01/'souləraiz/]	[01* dtừ]\n- (nhiếp ảnh) làm hỏng vì phơi quá\n[01* nđtừ]\n- hỏng vì phơi quá
solatia [01/sou'lei∫iə/]	[01* dtừ] s/n [03solatia]\n- vật bồi thường, vật an ủi
solatium [01/sou'lei∫iəm/]	như [03solatia]
sold [01/sel/]	[01* dtừ]\n- (thực vật) sự làm thất vọng\n[02= what a sell!] thật là thất vọng!, thật là chán quá!\n- (Mỹ) vố chơi khăm; sự đánh lừa\n[01* đtừ sold]\n- bán (hàng hoá) ; chuyên bán\n[02= goods that sell well] hàng hoá bán chạy\n[02= to sell like wildfire; to sell like hot cakes] bán chạy như tôm tươi\n[02= to sell second books] chuyên bán sách cũ\n- phản bội, bán, bán rẻ (nước, lương tâm)\n[02= to sell one's honour] bán rẻ danh dự\n[02= to sell one's country] bán nước\n- (lóng) làm cho thất vọng\n[02= sold again!] thật là chán quá!\n- quảng cáo cho, rao hàng cho, cho (ai) biết giá trị của cái gì; làm cho (ai) thích muốn cái gì\n[02= to sell a new drug] quảng cáo cho một thứ thuốc mới\n[02= to sell the public on a new drug] làm cho công chúng biết giá trị của một thứ thuốc mới\n[02= to be sold on something] thích thú cái gì\n- (Mỹ),(lóng) đánh lừa, lừa\n[04! to sell off]\n- bán xon\n[04! to sell out]\n- bán rẻ hết (hàng còn lại, hàng dự trữ), bán tống bán tháo\n[04! to sell up]\n- bán hàng hoá (của người mắc nợ bị phá sản)\n[04! to sell down the river]\n- phản bội, phản dân hại nước\n[04! to sell one's life dearly]\n- giết được nhiều quân địch trước khi hy sinh
sold out [01/,sould'aut/]	[01* ttừ] bán hết (vé, hàng) 
soldan [01/'souldən/]	- xem [03sultan] 
soldanella [01/,sɔldə'nelə/]	[01* dtừ]\n- (thực vật) cây anh thảo
solder [01/'sɔldə/]	[01* dtừ]\n- hợp kim (để) hàn, chất hàn\n[02= hard solder] chất hàn cứng\n[02= soft solder] chất hàn mềm\n- sự hàn\n- (bóng) người hàn gắn, vật hàn gắn\n[01* ngđtừ]\n- hàn\n- (bóng) hàn gắn\n[01* nđtừ]\n- hàn lại
solderability [01/sɔldərə'biliti/]	[01* dtừ]\n- tính hàn được; dễ hàn
solderable [01/'sɔldərəbl/]	[01* ttừ]\n- hàn được; dễ hàn
soldering [01/'sɔldəriη/]	[01* dtừ]\n- sự hàn\n- electic soldering\n- sự hàn điện\n- mối hàn
soldering-iron [01/'sɔldəriη'aiən/]	[01* dtừ]\n- mỏ hàn
soldier [01/'souldʒə/]	[01* dtừ]\n- lính, quân lính, binh sĩ, quân nhân\n[02= a soldier of fortune] lính đánh thuê\n[02= the Unknown Soldier] chiến sĩ vô danh\n- người chỉ huy có tài, nhà quân sự có tài\n[02= a great soldier] nhà quân sự vĩ đại\n- (hàng hải),(lóng) thuỷ thủ lười biếng; thuỷ thủ hay trốn việc\n[04! to come the old soldier over]\n- lên mặt ta đây là bậc đàn anh để ra lệnh\n[04! old soldier]\n- người nhiều kinh nghiệm, người già dặn\n- chai không\n- mẩu thuốc lá\n[04! soldier's wind]\n- (hàng hải) gió xuôi\n[01* nđtừ]\n- đi lính\n[02= to go soldiering] đi lính\n- (hàng hải),(lóng) trốn việc\n[04! to soldier on]\n- kiên nhẫn tiếp tục, kiên trì
soldier-fish [01/'souldʒə,fi∫/]	[01* dtừ]\n- (động vật) cá sơn đá
soldiering [01/'souldʒəriη/]	[01* dtừ]\n- cuộc đời của lính
soldierlike [01/'souldʒəlaik/]	như [03soldierly]
soldierly [01/'souldʒəli/]	[01* ttừ]\n- (thuộc) lính; có vẻ lính; giống lính\n[01* phtừ]\n- với vẻ lính; như lính
soldiership [01/'souldʒə∫ip/]	[01* dtừ]\n- nghề lính, nghề đi lính ((cũng) [03soldiery] ) 
soldiery [01/'souldʒəri/]	[01* dtừ]\n- quân lính (một nước, một vùng...)\n- đội quân\n[02= a disparate soldiery] đội quân ô hợp\n- (như) [03soldiership] 
soldo [01/'sɔldou/]	[01* dtừ]\n- đồng xonđô (đồng tiền của Y bằng 1 quoành 0 đồng lia) 
sole [01/soul/]	[01* dtừ]\n- (động vật) cá bơn\n- bàn chân\n- đế giày\n- nền, bệ, đế\n[01* ngđtừ]\n- đóng đế (giày)\n[01* ttừ]\n- duy nhất, độc nhất\n[02= the sole representative] người đại diện duy nhất\n[02= his sole reason is this] cái lý do độc nhất của anh ta là thế này\n- (cổ) một mình; cô độc, cô đơn
