desert [01/'dezət/]	[01* dtừ]\n- công lao, giá trị\n[02= a reward equal to desert] sự thưởng xứng đáng với công lao\n[02= to treat someone according to his deserts] đãi ngộ ai xứng đáng với công lao\n- sự xứng đáng, sự đáng (khen thưởng, trừng phạt...)\n- những người xứng đáng\n- (số nhiều) những cái đáng được (thưởng, phạt)\n[02= to get (obtain, meet with) one's deserts] được những cái đáng được\n[01* dtừ]\n- sa mạc\n- nơi hoang vắng, nơi quạnh quẽ, nơi vắng vẻ\n- (bóng) vấn đề khô khan vô vị\n[01* ttừ]\n- hiu quạnh, quạnh quẽ, vắng vẻ, không người ở\n- bỏ hoang, hoang phế\n[01* ngđtừ]\n- rời đi, bỏ đi, bỏ trốn, trốn khỏi\n[02= to desert one's familly] bỏ nhà ra đi\n[02= to desert an army] đào ngũ\n- ruồng bỏ, bỏ mặc, bỏ rơi\n[02= to desert a friend in difficulty] bỏ mặc bạn trong lúc khó khăn\n[02= to desert one's wife] ruồng bỏ vợ\n[02= his delf-control deserted him] nó không còn tự chủ được nữa\n[01* nđtừ]\n- đào ngũ
deserted [01/di'zə:tid/]	[01* ttừ]\n- không người ở, hoang vắng, trống trải, vắng vẻ, hiu quạnh\n- bị ruồng bỏ, bị bỏ mặc, bị bỏ rơi
deserter [01/di'zə:tə/]	[01* dtừ]\n- người bỏ ra đi, kẻ bỏ trốn; kẻ đào ngũ
desertion [01/di'zə:∫n/]	[01* dtừ]\n- sự bỏ ra đi, sự bỏ trốn; sự đào ngũ\n- sự ruồng bỏ, sự bỏ rơi, sự không nhìn nhận đến\n[02= wife desertion] (pháp lý) sự ruồng bỏ vợ
deserts [01/di'zə:ts/]	[01* dtừ]\n- (sn) những gì đáng được (thưởng phạt) 
deserve [01/di'zə:v/]	[01* đtừ]\n- đáng, xứng đáng\n[02= to deserve well] đáng khen thưởng, đáng ca ngợi\n[02= to deserve ill] đáng trừng phạt, đáng chê trách\n[02= to deserve well of one's country] có công với tổ quốc
deserved [01/di'zə:vd/]	[01* ttừ]\n- đáng, xứng đáng
deservedly [01/di'zə:vidli/]	[01* phtừ]\n- xứng đáng
deservedness	- xem [03deserved] 
deserving [01/di'zə:viη/]	[01* ttừ]\n- đáng khen, đáng thưởng\n- đáng (được khen, bị khiển trách...) 
deservingly	- xem [03deserving] 
desex [01/di'seks/]	[01* ngđtừ]\n- làm mất giới tính
