swan-flower [01/'swɔn'flauə/]	[01* dtừ]\n- (thực vật) hoa lan thiên nga
swan-goose [01/'swɔn'gu:s/]	[01* dtừ]\n- (động vật) ngỗng cao cổ (Trung quốc) 
swank [01/swæηk/]	[01* dtừ]\n- (lóng) sự trưng diện, sự phô trương, sự khoe khoang\n[01* nđtừ]\n- (lóng) trưng diện, phô trương
swankiness [01/'swæηkinis/]	[01* dtừ]\n- tính trưng diện; sự phô trương, sự khoe khoang
swanky [01/'swæηki/]	[01* ttừ]\n- (lóng) trưng diện, phô trương, khoe khoang
swan-mark [01/'swɔn'mɑ:k/]	[01* dtừ]\n- dấu mỏ (dấu ở mỏ thiên nga để chỉ quyền sở hữu) 
swannery [01/'swɔnəri/]	[01* dtừ]\n- chỗ nuôi thiên nga
swansdown [01/'swɔnzdaun/]	[01* dtừ]\n- lông tơ thiên nga (để nhồi áo) 
swan's-down [01/'swɔnz'daun/]	[01* dtừ]\n- lông tơ thiên nga
swan-shot [01/'swɔn'∫ɔt/]	[01* dtừ]\n- đạn chì cỡ lớn
swanskin [01/'swɔn,skin/]	[01* dtừ]\n- (Mỹ) hàng flanen
swan-skin [01/'swɔn'skin/]	[01* dtừ]\n- hàng flanen mịn
swan-upping [01/'swɔn'ʌpiη/]	[01* dtừ]\n- việc đánh dấu hằng năm chim thiên nga trên sông Têm
swap [01/swɔp/]	[01* dtừ]\n- (lóng) sự trao đổi, sự đổi chác\n[01* đtừ]\n- (lóng) đổi, trao đổi, đổi chác\n[02= to swop something for something] trao đổi vật no lấy vật kia\n[02= never swop horses while crossing the stream] không nên thay ngựa giữa dòng
swap shop [01/'swɔp,∫ɔp/]	[01* dtừ]\n- cửa hàng trao đổi các hàng cũ
swapo [01/'swɑ:pəʊ/]	[01* (vt)]\n- tổ chức nhân dân Tây Nam Phi châu ([03South West Africa People's Organization] ) 
swaraj [01/swə'rɑ:dʒ/]	[01* dtừ]\n- cuộc vận động tự trị (Ân độ) 
swarajist [01/swə'rɑ:dʒist/]	[01* dtừ]\n- người tán thành chế độ tự trị (Ân độ) 
sward [01/swɔ:d/]	[01* dtừ]\n- bãi cỏ\n- cụm cỏ; lớp đất có cỏ xanh
swarded [01/'swɔ:did/]	[01* ttừ]\n- có nhiều cụm cỏ
swarf [01/swɔ:f/]	[01* dtừ]\n- vỏ bào; mạt cưa (gỗ) ; phoi bào, mạt giũ (kim loại) 
swarm [01/swɔ:m/]	[01* dtừ]\n- đàn, đám, bầy\n- đàn ong chia tổ\n[01* nđtừ]\n- (+[04 round, about, over...]) di chuyển thành đàn, di chuyển thành bầy\n- tụ lại để chia tổ (ong)\n- họp lại thành đàn\n- (+[04 with]) đầy, nhung nhúc\n[02= a place swarming with fleas] một nơi nhung nhúc những bọ chét\n[01* đtừ]\n- trèo (cây), leo (dây)((cũng) [03swarm up] ) 
swarm-cell [01/'swɔ:msel/]	như [03swarm-spore]
swarm-spore [01/'swɔ:mspɔ:/]	[01* dtừ]\n- (sinh vật) động bào tử
swart [01/swɔ:t/]	[01* ttừ]\n- (cổ) ngăm ngăm đen (da...) 
swarthiness [01/'swɔ:đinis/]	[01* dtừ]\n- màu ngăm đen (da) 
swarthy [01/'swɔ:đi/]	[01* ttừ]\n- ngăm đen (da) 
swartness [01/'swɔ:tnis/]	[01* dtừ]\n- màu ngăm ngăm đen
swash [01/swɔ∫/]	[01* dtừ]\n- sóng vỗ; tiếng sóng vỗ ì oàm\n- (Mỹ) sự nghênh ngang, sự huênh hoang khoác lác; sự nạt nổ thét lác\n[01* đtừ]\n- (cổ) quật mạnh\n- vỗ ì oàm (sóng) 
