constipate [01/'kɔnstipeit/]	[01* ngđtừ]\n- (y) làm táo bón
constipated [01/'kɔnstipeitid/]	[01* ttừ]\n- (y) bị táo bón
constipation [01/,kɔnsti'pei∫n/]	[01* dtừ]\n- (y) chứng táo bón
constitionalism [01/,kɔnsti'tju:ʃnəlizm/]	[01* dtừ]\n- người ủng hộ hiến pháp\n- tính chất lập hiến\n- sự hợp hiến pháp
constitionalist [01/,kɔnsti'tju:∫nəlist/]	[01* dtừ]\n- người theo chủ nghĩa lập hiến\n- người ủng hộ chủ nghĩa lập hiến\n- người chuyên nghiên cứu hiến pháp
constitionality [01/'kɔnsti,tju:∫ə'næliti/]	[01* dtừ]\n- tính chất lập hiến\n- sự hợp hiến pháp
constitionalize [01/,kɔnsti'tju:∫nəlaiz/]	[01* ngđtừ]\n- làm đúng hiến pháp, làm cho hợp với hiến pháp (một đạo luật, nghị định...)\n[01* nđtừ]\n- đi dạo, đi tản bộ
constitionally [01/,kɔnsti'tju:∫nəli/]	[01* phtừ]\n- hợp hiến pháp\n- do thể tạng, do thể chất
constituency [01/kən'stitjuənsi/]	[01* dtừ]\n- các cử tri, những người đi bỏ phiếu (của một khu vực bầu cử)\n- khu vực bầu cử\n- (thực vật) khách hàng
constituent [01/kən'stitjuənt/]	[01* ttừ]\n- cấu tạo, hợp thành, lập thành\n[02= the constituent elements of air] những phần tử cấu tạo không khí\n- có quyền bầu cử\n- lập hiến\n[02= constituent assembly] hội đồng lập hiến\n[01* dtừ]\n- phần tử, yếu tố cấu tạo, thành phần\n- cử tri, người đi bầu (của một khu vực bầu cử)\n- người uỷ thác, người uỷ nhiệm (cho người khác bênh vực quyền lợi của mình) 
constituently	- xem [03constituent] 
constitute [01/'kɔnstitju:t/]	[01* ngđtừ]\n- cấu tạo, tạo thành\n[02= to constitute someone's happiness] tạo hạnh phúc cho ai\n[02= twelve months constitute a years] mười hai tháng (tạo) thành một năm\n- thiết lập, thành lập\n[02= to constitute a tribunal] thiết lập toà án\n- chỉ đinh, uỷ nhiệm\n[02= to constitute someone arbitrator] uỷ nhiệm ai làm trọng tải\n[02= they constituted him president] ông ta được chỉ đinh làm chủ tịch\n[04! to be strongly constituted]\n- khoẻ, có thể chất khoẻ
constituter	- xem [03constitute] 
