digs [01/digz/]	[01* dtừ] s/n\n- (lóng) sự đào, sự bới, sự xới, sự cuốc ((cũng) [03digging] ) 
digue [01/di:g/]	[01* dtừ]\n- xem [03dike] 
dihedon [01/dai'hedrən/]	[01* dtừ]\n- (toán) nhị diện
dihedral [01/dai'hedrəl/]	[01* ttừ]\n- hai mặt, nhị diện\n[02= dihedral angle] góc nhị diện; (hàng không) góc (tạo nên bởi) hai cánh (máy bay)\n[01* dtừ]\n- góc nhị diện\n- (hàng không) góc (tạo nên bởi) hai cánh (máy bay) 
dihedron [01/dai'hedrən/]	[01* dtừ]\n- <toán> nhị diện
dihomology	- (tô pô) lưỡng đồng đều
dihybrid [01/,dai'haibrid/]	[01* ttừ]\n- lai hai tình trạng\n[01* dtừ]\n- thể lai hai tình trạng
diiscouragingly [01/dis'kʌridʒiηli/]	[01* phtừ] làm nản lòng, làm thoái chí
dik-dik [01/'dik,dik/]	[01* dtừ]\n- sơn dương nhỏ Đông phi
dike [01/daik/]	như [03dyke]
dike-reeve [01/'daikri:v/]	[01* dtừ]\n- người kiểm đê
diktat [01/dik'tæt/]	- lệnh độc đoán
dilapidate [01/di'læpideit/]	[01* ngđtừ]\n- làm hư nát, làm đổ nát (nhà...) ; làm long tay gãy ngõng (đồ đạc) ; làm xác xơ (quần áo...)\n- phung phí (của cải) 
dilapidated [01/di'læpideitid/]	[01* ttừ]\n- đổ nát, xiêu vẹo, ọp ẹp (nhà) ; long tay gãy ngõng (đồ đạc) ; xác xơ (quần áo...)\n- bị phung phí (của cải)\n[01* ttừ]\n- đổ nát, xiêu vẹo, ọp ẹp (nhà) ; long tay gãy ngõng (đồ đạc) ; xác xơ (quần áo...)\n- lôi thôi, không gọn gàng (ăn mặc) 
dilapidation [01/di,læpi'dei∫n/]	[01* dtừ]\n- sự làm hư nát, sự làm đổ nát (nhà cửa...) ; sự làm long tay gãy ngõng (đồ đạc) ; sự làm xác xơ (quần áo...) ; tình trạng đổ nát; tình trạng long tay gãy ngõng; tình trạng xác xơ\n- sự phung phí (của cải...)\n- tiến đến hư hại quần áo (mặc trong lúc nhậm chức của các chức sắc nhà thờ...)\n- (địa) sự đổ vách đá; đá vụn đổ nát
dilatability [01/dai,leitə'biliti/]	[01* dtừ]\n- tính giãn, tính nở
dilatable [01/dai'leitəbl/]	[01* ttừ]\n- giãn được, nở được, mở rộng ra được
dilatancy [01/dai'leitənsi/]	[01* dtừ]\n- khả năng phình ra, trương ra
dilatant [01/dai'leitənt/]	[01* ttừ]\n- trương ra; phình ra
dilatation [01/,dailə'tei∫n/]	[01* dtừ]\n- sự giãn, sự nở\n- chỗ giãn, chỗ nở
dilate [01/dai'leit/]	[01* ngđtừ]\n- làm giãn, làm nở, mở rộng\n- (hiếm) bàn rộng, bàn chi tiết dài dòng (một vấn đề...)\n[01* nđtừ]\n- giãn ra, nở ra, mở rộng ra\n- (+[04 upon, on]) bàn rộng, bàn chi tiết dài dòng về (một vấn đề...) 
dilated [01/dai'leitid/]	[01* ttừ]\n- dược giãn ra; được nở ra
dilating [01/dai'leitiη/]	[01* ttừ]\n- làm giãn nở
dilation [01/dai'leiʃn/]	như [03dilatation]
dilator [01/dai'leitə/]	[01* dtừ]\n- (phẫu) cơ giãn (con ngươi) ; cơ nở (mũi)\n- (y) cái banh
dilatorily [01/'dilətərili/]	[01* phtừ]\n- lề mề, chậm chạp
dilatoriness [01/'dilətərinis/]	[01* dtừ]\n- tính chậm trễ; tính trì hoãn\n- tính trễ nãi
dilatory [01/'dilətəri/]	[01* ttừ]\n- chậm, chạm trễ, trì hoãn\n- trễ nãi
