screwed [01/skru:d/]	[01* ttừ]\n- xoắn đinh ốc, có đường ren đinh ốc\n- (lóng) say rượu; ngà ngà say, chếnh choáng hơi men
screwedup [01/'skru:dʌp/]	- xem [03screwed-up] 
screwed-up [01/'skru:dʌp/]	[01* ttừ] (lóng) bàng hoàng
screw-eye [01/'skru:'ai/]	[01* dtừ]\n- lỗ đinh khuy
screw-head [01/'skru:,hed/]	[01* dtừ]\n- cái mũ vít
screw-hook [01/'skru:,huk/]	[01* dtừ]\n- móc có vít
screwiness [01/'skru:inis/]	[01* dtừ]\n- sự gàn dở
screwing [01/'skru:iη/]	[01* dtừ]\n- sự vặn vít; sự cắt ren vít
screw-jack [01/'skru:'dʒæk/]	như [03jack-screw]
screw-nail [01/'skru:'neil/]	[01* dtừ]\n- (kỹ) vít bắt gỗ
screw-nut [01/'skru:'nʌt/]	[01* dtừ]\n- (kỹ) đai ốc
screw-pine [01/'skru:'pain/]	[01* dtừ]\n- (thực vật) cây dừa dại
screw-propeller [01/'skru:prə'pelə/]	[01* dtừ]\n- cánh quạt (máy bay) 
screw-shaped [01/'skru:,∫eipt/]	[01* ttừ]\n- có hình xoắn ốc
screw-steamer [01/'skru:'sti:mə/]	[01* dtừ]\n- tàu có chân vịt
screw-stock [01/'skru:,stɔk/]	[01* dtừ]\n- cái bàn ren
screw-tap [01/'skru:'tæp/]	[01* dtừ]\n- (kỹ) tarô
screw-thread [01/'skru:'θred/]	[01* dtừ]\n- (kỹ) ren
screw-top [01/'skru:'tɔp/]	như [03screw-topped]
screw-topped [01/'skru:'tɔpid/]	[01* ttừ]\n- có nút, có nắp xoáy (về cái lọ) 
screw-wheel [01/'skru:'wi:l/]	như [03worm-wheel]
screw-wrench [01/'skru:'rent∫/]	[01* dtừ]\n- cái siết vít, chìa vặn vít
screwy [01/'skru:i/]	[01* ttừ]\n- (lóng) gàn bát sách, dở hơi
scribacious [01/skrai'bei∫əs/]	[01* ttừ]\n- (hiếm) ham viết, thích viết, mê viết
scribal [01/'skraibəl/]	[01* ttừ]\n- thuộc thư ký
scribble [01/'skribl/]	[01* dtừ]\n- chữ viết nguệch ngoạc, chữ viết cẩu thả, bức thư viết nguệch ngoạc, mảnh giấy ghi vội vàng\n- (Mỹ) tác phẩm văm học viết xoàng; bài báo xoàng\n[01* đtừ]\n- viết chữ nguệch ngoạc, viết cẩu thả, viết vội vàng\n- viết xoàng (văn, báo...)\n[01* ngđtừ]\n- (nghành dệt) chải (len, bông) 
scribbler [01/'skriblə/]	[01* dtừ]\n- người viết bôi bác, người viết vội vã, người viết chữ nguệch ngoạc\n- nhà văn xoàng; nhà văn tồi\n[01* dtừ]\n- thợ chải len\n- máy chải len
scribbling [01/'skribliη/]	[01* dtừ]\n- chữ viết vội vàng
scribbling-block [01/'skribliη'blɔk/]	[01* dtừ]\n- tập giấy nháp
scribbling-diary [01/'skribliη'daiəri/]	[01* dtừ]\n- sổ ghi chép lặt vặt
scribbling-pad [01/'skribliη,pæd/]	[01* dtừ]\n- tập giấy ghi
scribbling-paper [01/'skribliη'peipə/]	[01* dtừ]\n- giấy nháp, giấy để ghi chép vội
